text;label;STAWN
PODGRUPA: 1101 | MATNR: 1101080020DP758K | NAZWAPL: S08.0X020-6K-DP7-05.8 DELTA PROTEKT 720H | AVAILABLE: 31,32,49;31;73181582
PODGRUPA: 1319 | MATNR: 1319040018ZWBI207T | NAZWAPL: W04.0X018-WC-ZW-B METR.CYL.ISO1207 | AVAILABLE: 27,29;27;73181558
PODGRUPA: 1202 | MATNR: 1202100030IMS4027T | NAZWAPL: V10.0X030-VD-IM-S-ISO4027 WK.DOC.45H | AVAILABLE: 24,25;25;73181548
PODGRUPA: 1401 | MATNR: 1401300560GD126S | NAZWAPL: P30.0X56.0X4.0-G  PODKLADKA DIN126 | AVAILABLE: 42,50;42;73182200
PODGRUPA: 1306 | MATNR: 1306040010TXBT | NAZWAPL: W04.0X010-WS-TX-B METR.STOZ. | AVAILABLE: 27,29;27;73181558
PODGRUPA: 1102 | MATNR: 1102240290S88D931T | NAZWAPL: S24.0X290-6K-S-73-08.8- SRUBA DIN931 | AVAILABLE: 28,31,32,35;32;73181588
PODGRUPA: FIS- | MATNR: FIS-WIERTLO649151S | NAZWAPL: FIS-WIERTLO SDS+ II 10X50/110 531791+ | AVAILABLE: 0,1,2,3,7,16,19,20,26,27,31,33,38,40,45,48,53,54,59,62,63;54;82075030
PODGRUPA: 1108 | MATNR: 1108160045R88D603T | NAZWAPL: S16.0X045-ZG-R-08.8- SR.ZAMK.GRZYBK. | AVAILABLE: 33,49;33;73181595
PODGRUPA: I1101 | MATNR: I1101160180A27IT | NAZWAPL: INOX-S16.0X180-6K-A2 70 SRUBA ISO4017 | AVAILABLE: 30,38;30;73181575
PODGRUPA: 1102 | MATNR: 1102060065B10I014T | NAZWAPL: S06.0X065-6K-B-18-10.9- SRUBA ISO4014 | AVAILABLE: 28,31,32,35;32;73181588
PODGRUPA: 1401 | MATNR: 1401160300BD126T | NAZWAPL: P16.0X30.0X3.0-B  PODKLADKA PN82005 | AVAILABLE: 42,50;42;73182200
PODGRUPA: I6399 | MATNR: I6399180082A4NLS | NAZWAPL: INOX-GAL-NACIAG LINY 18X82 A4 | AVAILABLE: 14,33,46,47,48;48;73269098
PODGRUPA: 1112 | MATNR: 1112240100S10200T | NAZWAPL: S24.0X100-6K-S-2.00-10.9 SRUBA DIN961 | AVAILABLE: 29,32;32;73181588
PODGRUPA: 1102 | MATNR: 1102060120S88D931T | NAZWAPL: S06.0X120-6K-S-18-08.8- SRUBA DIN931 | AVAILABLE: 28,31,32,35;32;73181588
PODGRUPA: 1102 | MATNR: 1102220200B88D931T | NAZWAPL: S22.0X200-6K-B-56-08.8- SRUBA DIN931 | AVAILABLE: 28,31,32,35;32;73181588
PODGRUPA: 3801 | MATNR: 3801270200B88S | NAZWAPL: SDM27X200B-08.8   SZPILKA DWUSTRONNA | AVAILABLE: 23,24,25;24;73181542
PODGRUPA: 2499 | MATNR: 2499040160ASRBT | NAZWAPL: NIT ZRYW.4.0X16  AL/ST ROZPREZ. BRALO | AVAILABLE: 3,43,61;61;83082000
PODGRUPA: 3811 | MATNR: 3811080045SD835T | NAZWAPL: SDM8X45S SZPILKA DWUSTR DIN835 | AVAILABLE: 24,25;24;73181542
PODGRUPA: 1112 | MATNR: 1112240090S88200IT | NAZWAPL: S24.0X090-6K-S-2.00-08.8 SRUBA ISO8676 | AVAILABLE: 29,32;32;73181588
PODGRUPA: 1101 | MATNR: 1101120016R88D933T | NAZWAPL: S12.0X016-6K-R-08.8- SRUBA DIN933 | AVAILABLE: 31,32,49;32;73181588
PODGRUPA: 1102 | MATNR: 1102220070S10D931T | NAZWAPL: S22.0X070-6K-S-50-10.9- SRUBA DIN931 | AVAILABLE: 28,31,32,35;28;73181562
PODGRUPA: 1102 | MATNR: 1102080240S10I014T | NAZWAPL: S08.0X240-6K-S-41-10.9- SRUBA ISO4014 | AVAILABLE: 28,31,32,35;32;73181588
PODGRUPA: I1119 | MATNR: I1119200150A2D444T | NAZWAPL: INOX-S20.0X150-SO-A2-52 SRUBA OCZ.DIN444 | AVAILABLE: 20,33;20;73181300
PODGRUPA: 1503 | MATNR: 1503050B04D439T | NAZWAPL: NM 5B  KL.4 NAKRETKA NISKA DIN439 | AVAILABLE: 38,39,49;38;73181692
PODGRUPA: 1104 | MATNR: 1104120060B10D692T | NAZWAPL: S12.0X060-6P-B-30-10.9- SRUBA KOLN.D6921 | AVAILABLE: 31,32;32;73181588
PODGRUPA: 1108 | MATNR: 1108060110AD603T | NAZWAPL: S06.0X110-ZG-A- SR.ZAMK.GRZYBK. | AVAILABLE: 33,49;33;73181595
PODGRUPA: 1102 | MATNR: 1102080065S88I014T | NAZWAPL: S08.0X065-6K-S-22-08.8- SRUBA ISO4014 | AVAILABLE: 28,31,32,35;32;73181588
PODGRUPA: 3103 | MATNR: 3103035040PZBK | NAZWAPL: U03.5X040-US-PZ-B      WKR.UNIX STOZ. | AVAILABLE: 19,22;22;73181499
PODGRUPA: 1102 | MATNR: 1102270180S56I014T | NAZWAPL: S27.0X180-6K-S-66-05.6- SRUSA ISO4014 | AVAILABLE: 28,31,32,35;31;73181582
PODGRUPA: 6799 | MATNR: 6799040041080UNIPS | NAZWAPL: WIERTLO UNI-PLUS  4.0X 4180- | AVAILABLE: 54,55,56;56;82075090
PODGRUPA: 3103 | MATNR: 3103040025PZBDXK | NAZWAPL: U04.0X025-US-PZ-B WKR.UNIX STOZ. | AVAILABLE: 19,22;22;73181499
PODGRUPA: 1102 | MATNR: 1102160180S10D931T | NAZWAPL: S16.0X180-6K-S-44-10.9- SRUBA DIN931 | AVAILABLE: 28,31,32,35;32;73181588
PODGRUPA: 1499 | MATNR: 1499180250SD988T | NAZWAPL: P18.0X25.0X1.5-S  PODKLADKA DIN988 | AVAILABLE: 3,4,37,41,42,49;42;73182200
PODGRUPA: 5352 | MATNR: 5352060200B88D975S | NAZWAPL: PG-M 6X2000B-08.8 PRET GWINTOW.DIN975 | AVAILABLE: 24,25;25;73181548
PODGRUPA: I3104 | MATNR: I3104040045TXA2T | NAZWAPL: INOX-U4.0X45/30 TX20A2 WKR.UNIX STOZ | AVAILABLE: 18,21;21;73181410
PODGRUPA: I1101 | MATNR: I1101050045A2D933T | NAZWAPL: INOX-S05.0X045-6K-A2- SRUBA DIN933 | AVAILABLE: 30,38;30;73181575
PODGRUPA: 1501 | MATNR: 1501240O12D934S | NAZWAPL: NM24OX-KL.12  NAKRETKA PN82144 | AVAILABLE: 37,38,39,49;39;73181699
PODGRUPA: 1101 | MATNR: 1101240160S10D933S | NAZWAPL: S24.0X160-6K-S-10.9- SRUBA DIN933 | AVAILABLE: 31,32,49;32;73181588
PODGRUPA: 1102 | MATNR: 1102060080S88I014T | NAZWAPL: S06.0X080-6K-S-18-08.8- SRUBA ISO4014 | AVAILABLE: 28,31,32,35;32;73181588
PODGRUPA: 1205 | MATNR: 1205050005ZWM4766T | NAZWAPL: V05.0X005-VD-ZW-M-ISO4766 WK.DOCI. | AVAILABLE: 3,24,25,49;49;74153300
PODGRUPA: I1101 | MATNR: I1101080040A47IT | NAZWAPL: INOX-S08.0X040-6K-A4 70 SRUBA ISO4017 | AVAILABLE: 30,38;30;73181575
PODGRUPA: 1101 | MATNR: 1101050050B58D933T | NAZWAPL: S05.0X050-6K-B-05.8- SRUBA DIN933 | AVAILABLE: 31,32,49;31;73181582
PODGRUPA: I1599 | MATNR: I1599100A1D466S | NAZWAPL: INOX-NM 10-A1 NAKRETKA RADELKOWANA D466 | AVAILABLE: 34,35;35;73181639
PODGRUPA: 1109 | MATNR: 1109080140AD603K | NAZWAPL: S08.0X140-ZG-A-28- SR.ZAMK.GRZYBK. | AVAILABLE: 33,49;33;73181595
PODGRUPA: I3203 | MATNR: I3203160060A4571T | NAZWAPL: INOX-H16.0X060-6K-A4 WKR.DO DREW.DIN571 | AVAILABLE: 17,18;17;73181100
PODGRUPA: 5352 | MATNR: 5352180100S88D976S | NAZWAPL: PG-M18X1000S-08.8  PRET GWINTOW. DIN975 | AVAILABLE: 24,25;25;73181548
PODGRUPA: 3801 | MATNR: 3801160085B88T | NAZWAPL: SDM16.0X085B-8.8 SZPILKA DWUSTR | AVAILABLE: 23,24,25;24;73181542
PODGRUPA: 1199 | MATNR: 1199080070B88OT | NAZWAPL: S6KM8X70BH/1 8.8 NR.RYS.0429/07 | AVAILABLE: 25,29,31,32,33;32;73181588
PODGRUPA: 1112 | MATNR: 1112120065S88150IT | NAZWAPL: S12.0X065-6K-S-1.50-08.8 SRUBA ISO8676 | AVAILABLE: 29,32;32;73181588
PODGRUPA: 1101 | MATNR: 1101100100R10D933T | NAZWAPL: S10.0X100-6K-R-10.9- SRUBA DIN933 | AVAILABLE: 31,32,49;32;73181588
PODGRUPA: 1103 | MATNR: 1103060035B88D921T | NAZWAPL: S06.0X035-6P-B-08.8 SR.KOLN.DIN6921 | AVAILABLE: 31,32;32;73181588
PODGRUPA: 1199 | MATNR: 1199060060BT | NAZWAPL: S06.0X060-6K-B- SRUBA | AVAILABLE: 25,29,31,32,33;31;73181582
PODGRUPA: 1102 | MATNR: 1102270110B10D931T | NAZWAPL: S27.0X110-6K-B-60-10.9- SRUBA DIN931 | AVAILABLE: 28,31,32,35;32;73181588
PODGRUPA: 3802 | MATNR: 3802100175035BS | NAZWAPL: SDM-M 10X175/35/35B    SZPILKA DW | AVAILABLE: 24,25;24;73181542
PODGRUPA: I1421 | MATNR: I142120028003A288T | NAZWAPL: INOX-P20.0X28.0X0.3 A2 PODKLADKA DIN988 | AVAILABLE: 42,48;48;73269098
PODGRUPA: 3107 | MATNR: 3107050016PZBT | NAZWAPL: U05.0X016-UW-PZ-B      WKR.UNIX WALC.+ | AVAILABLE: 19,22;22;73181499
PODGRUPA: 3103 | MATNR: 3103035050TXAT | NAZWAPL: U03.5X050-US-TX-A      WKR.UNIX.STOZ. | AVAILABLE: 19,22;22;73181499
PODGRUPA: 1308 | MATNR: 1308080012IMB88T | NAZWAPL: W08.0X012-WS-IM-B-08.8 STOZ.MRP | AVAILABLE: 27,29;29;73181568
PODGRUPA: 1503 | MATNR: 1503240B04D439T | NAZWAPL: NM24B  KL.4 NAKRETKA NISKA DIN439 | AVAILABLE: 38,39,49;39;73181699
PODGRUPA: 1102 | MATNR: 1102160055S12I014T | NAZWAPL: S16.0X055-6K-S-38-12.9- SRUBA ISO4014 | AVAILABLE: 28,31,32,35;32;73181588
PODGRUPA: 1102 | MATNR: 1102080040B88D931K | NAZWAPL: S08.0X040-6K-B-22-08.8- SRUBA DIN931+ | AVAILABLE: 28,31,32,35;32;73181588
PODGRUPA: 1102 | MATNR: 1102300200B88D931T | NAZWAPL: S30.0X200-6K-B-72-08.8- SRUBA DIN931 | AVAILABLE: 28,31,32,35;32;73181588
PODGRUPA: 6302 | MATNR: 6302030OC1X07BEM | NAZWAPL: GAL-LINA STAL. 3.0 OC.(1.6+1.4PCV)BEZB. | AVAILABLE: 10,11;10;73121049
PODGRUPA: 1338 | MATNR: 1338200060IMB88T | NAZWAPL: W20.0X060-WS-IM-B-08.8 STOZ.DIN7991 | AVAILABLE: 27,29;29;73181568
PODGRUPA: 1109 | MATNR: 1109100220BD603K | NAZWAPL: S10.0X220-ZG-B-45- SR.ZAMK.GRZYBK.+ | AVAILABLE: 33,49;33;73181595
PODGRUPA: 3801 | MATNR: 3801080080BT | NAZWAPL: SDM 8.0X.80B   SZPILKA DWUSTRONNA+ | AVAILABLE: 23,24,25;24;73181542
PODGRUPA: 1102 | MATNR: 1102050025S88D931T | NAZWAPL: S05.0X025-6K-S-16-08.8- SRUBA DIN931 | AVAILABLE: 28,31,32,35;32;73181588
PODGRUPA: 1109 | MATNR: 1109120120BD603S | NAZWAPL: S12.0X120-ZG-B-30- SR.ZAMK.GRZYBK. | AVAILABLE: 33,49;33;73181595
PODGRUPA: 1102 | MATNR: 1102220100B88D931T | NAZWAPL: S22.0X100-6K-B-50-08.8- SRUBA DIN931 | AVAILABLE: 28,31,32,35;32;73181588
PODGRUPA: 1303 | MATNR: 1303060010IMB10IT | NAZWAPL: W06.0X010-WP-IM-B  M.PODK.10.9  ISO7380 | AVAILABLE: 27,29;29;73181568
PODGRUPA: 1102 | MATNR: 1102120100G88D931T | NAZWAPL: S12.0X100-6K-G-30-08.8- SRUBA DIN931 | AVAILABLE: 28,31,32,35;32;73181588
PODGRUPA: 1102 | MATNR: 1102560380S88D931T | NAZWAPL: S56.0X380-6K-S-137-08.8- SRUBA DIN931 | AVAILABLE: 28,31,32,35;32;73181588
PODGRUPA: I1101 | MATNR: I1101240160A47IT | NAZWAPL: INOX-S24.0X160-6K-A4 70 SRUBA ISO4017 | AVAILABLE: 30,38;30;73181575
PODGRUPA: 1501 | MATNR: 1501080AD934K | NAZWAPL: 2-NM 8A  NAKRETKA DIN934 | AVAILABLE: 37,38,39,49;38;73181692
PODGRUPA: 1599 | MATNR: 1599100BT | NAZWAPL: NM10BNAKRETKA KOL.ZABKOW. S-15 | AVAILABLE: 3,36,37,38,39;37;73181660
PODGRUPA: 1205 | MATNR: 1205060020ZWB4766T | NAZWAPL: V06.0X020-VD-ZW-B-ISO4766 WK.DOCI.14H | AVAILABLE: 3,24,25,49;24;73181542
PODGRUPA: 1319 | MATNR: 1319060060ZWSD84K | NAZWAPL: W06.0X060-WC-ZW-S METR.CYL DIN84 | AVAILABLE: 27,29;27;73181558
PODGRUPA: 1102 | MATNR: 1102270340S88D931T | NAZWAPL: S27.0X340-6K-S-79-08.8- SRUBA DIN931 | AVAILABLE: 28,31,32,35;32;73181588
PODGRUPA: 1102 | MATNR: 1102300360B88D931S | NAZWAPL: S30.0X360-6K-B-85-08.8- SRUBA DIN931 | AVAILABLE: 28,31,32,35;32;73181588
PODGRUPA: 1303 | MATNR: 1303060008PKBDLT | NAZWAPL: W06.0X008-WP-PK-B        M.PODK. D-L | AVAILABLE: 27,29;27;73181558
PODGRUPA: 1401 | MATNR: 1401360060BD126T | NAZWAPL: P36.0X60.0X5.0-B PODKLADKA DIN126 | AVAILABLE: 42,50;42;73182200
PODGRUPA: 1102 | MATNR: 1102080250S88D931T | NAZWAPL: S08.0X250-6K-S-28-08.8- SRUBA DIN931 | AVAILABLE: 28,31,32,35;32;73181588
PODGRUPA: 3104 | MATNR: 3104060050PZRT | NAZWAPL: U06.0X050-US-PZ-R     WKR.UNIX STOZ. | AVAILABLE: 19,22;22;73181499
PODGRUPA: 1112 | MATNR: 1112100045B88125IT | NAZWAPL: S10.0X045-6K-B-1.25-08.8 SRUBA ISO8676 | AVAILABLE: 29,32;32;73181588
PODGRUPA: 1303 | MATNR: 1303100025IMR10IT | NAZWAPL: W10.0X25-WP-IM-R  M.PODK.10.9  ISO7380 | AVAILABLE: 27,29;29;73181568
PODGRUPA: I3104 | MATNR: I3104100220TXA4CTT | NAZWAPL: INOX-U10.0X220/105 A4 TX40 STOZ.CUT | AVAILABLE: 18,21;21;73181410
PODGRUPA: 1401 | MATNR: 1401060BD125QT | NAZWAPL: Q-P M 6B DIN-126 | AVAILABLE: 42,50;42;73182200
PODGRUPA: 1101 | MATNR: 1101200100B58D933K | NAZWAPL: S20.0X100-6K-B-05.8- SRUBA DIN933 | AVAILABLE: 31,32,49;31;73181582
PODGRUPA: 1102 | MATNR: 110220025010SD931S | NAZWAPL: S20.0X250-6K-S-65-10.9- SRUBA DIN931 | AVAILABLE: 28,31,32,35;32;73181588
PODGRUPA: 1314 | MATNR: 1314020004PZBT | NAZWAPL: W02.0X004-WW-PZ-B METR.WALC. | AVAILABLE: 27,29;27;73181558
PODGRUPA: 1308 | MATNR: 1308160050IMO10S | NAZWAPL: W16.0X050-WS-IM-O-10.9 STOZ.NIE UZYWAC | AVAILABLE: 27,29;29;73181568
PODGRUPA: 1401 | MATNR: 1401120240G2HD125S | NAZWAPL: P12.0X24.0X2.5-G PODKLADKA DIN125 200HV | AVAILABLE: 42,50;42;73182200
PODGRUPA: 1338 | MATNR: 1338080045IMS10T | NAZWAPL: W08.0X045-WS-IM-S-10.9 STOZ.DIN7991 | AVAILABLE: 27,29;29;73181568
PODGRUPA: 1401 | MATNR: 1401060120R2HD125T | NAZWAPL: P06.0X12.0x1.6-R PODKLADKA DIN125A 200HV | AVAILABLE: 42,50;42;73182200
PODGRUPA: 1308 | MATNR: 1308080060IMAT | NAZWAPL: W08.0X060-WS-IM-A-04.8 STOZ.MRP | AVAILABLE: 27,29;29;73181568
PODGRUPA: I1101 | MATNR: I1101080075A4D933T | NAZWAPL: INOX-S08.0X075-6K-A4 SRUBA DIN933 | AVAILABLE: 30,38;30;73181575
PODGRUPA: I1101 | MATNR: I1101060008A27933T | NAZWAPL: INOX-S06.0X008-6K-A2-70 SRUBA DIN933 | AVAILABLE: 30,38;30;73181575
PODGRUPA: 1102 | MATNR: 1102360200S10D931T | NAZWAPL: S36.0X200-6K-S-84-10.9- SRUBA DIN931 | AVAILABLE: 28,31,32,35;28;73181562
PODGRUPA: I1101 | MATNR: I1101120200A4D933T | NAZWAPL: INOX-S12.0X200-6K-A4 SRUBA DIN933 | AVAILABLE: 30,38;30;73181575
PODGRUPA: 1102 | MATNR: 1102120220S88D931T | NAZWAPL: S12.0X220-6K-S-49-08.8- SRUBA DIN931 | AVAILABLE: 28,31,32,35;32;73181588
PODGRUPA: 6314 | MATNR: 6314080B5821QO | NAZWAPL: QB1520-NZU M 8B NAKR.Z UCHEM DIN582 [2] | AVAILABLE: 35,38,39;38;73181692
PODGRUPA: 3802 | MATNR: 3802050300020BT | NAZWAPL: SDM-M  5.0X300/20/20B SZPILKA DW | AVAILABLE: 24,25;24;73181542
PODGRUPA: 1610 | MATNR: 1610016100FD471T | NAZWAPL: PIERSC.OSAD.SPR.Z. 16X1.0F DIN471 | AVAILABLE: 41,44;41;73182100
PODGRUPA: I3103 | MATNR: I3103030030PZA4T | NAZWAPL: INOX-U03.0X030-US-PZ-A4  WKR.UNIX STOZK | AVAILABLE: 18,21;21;73181410
PODGRUPA: 1101 | MATNR: 1101080040G58D933K | NAZWAPL: S08.0X040-6K-G-05.8- SRUBA DIN933 | AVAILABLE: 31,32,49;31;73181582
PODGRUPA: I1101 | MATNR: I1101240090A48933T | NAZWAPL: INOX-S24.0X090-6K-A4-80 SRUBA DIN933 | AVAILABLE: 30,38;30;73181575
PODGRUPA: 1102 | MATNR: 1102080030B58D931K | NAZWAPL: S08.0X030-6K-B-22-05.8- SRUBA DIN931 | AVAILABLE: 28,31,32,35;31;73181582
PODGRUPA: 1303 | MATNR: 1303080040IMB10T | NAZWAPL: W08.0X040-WP-IM-B-10.9  PODK.ISO7380-2 | AVAILABLE: 27,29;29;73181568
PODGRUPA: 1101 | MATNR: 1101100016S88D933T | NAZWAPL: S10.0X016-6K-S-08.8- SRUBA DIN933 | AVAILABLE: 31,32,49;32;73181588
PODGRUPA: I1101 | MATNR: I1101140035A2D933T | NAZWAPL: INOX-S14.0X035-6K-A2 SRUBA DIN933 | AVAILABLE: 30,38;30;73181575
PODGRUPA: 1314 | MATNR: 1314030004PHBT | NAZWAPL: W03.0X004-WW-PH-B METR.WALC. | AVAILABLE: 27,29;27;73181558
PODGRUPA: 1338 | MATNR: 1338060040IMB88T | NAZWAPL: W06.0X040-WS-IM-B-18-08.8 STOZ.DIN7991 | AVAILABLE: 27,29;29;73181568
PODGRUPA: 3203 | MATNR: 3203080120BT | NAZWAPL: H08.0X120-6K----B    WKR.DREW KLUCZ | AVAILABLE: 17,19;17;73181100
PODGRUPA: I3104 | MATNR: I3104040060TXA2SPT | NAZWAPL: INOX-US4.0X.60-TX-A2-HB  UNIX STOZ.SPAX | AVAILABLE: 18,21;18;73181210
PODGRUPA: I1101 | MATNR: I1101100150A48933T | NAZWAPL: INOX-S10.0X150-6K-A4-80 SRUBA DIN933 | AVAILABLE: 30,38;30;73181575
PODGRUPA: I1101 | MATNR: I1101100050A48933S | NAZWAPL: INOX-S10.0X050-6K-A4-80 SRUBA DIN933 | AVAILABLE: 30,38;30;73181575
PODGRUPA: 1112 | MATNR: 1112100030B10125IT | NAZWAPL: S10.0X030-6K-B-1.25-10.9 SRUBA ISO8676 | AVAILABLE: 29,32;32;73181588
PODGRUPA: 1306 | MATNR: 1306060060PHBT | NAZWAPL: W06.0X060-WS-PH-B METR.STOZ. | AVAILABLE: 27,29;27;73181558
PODGRUPA: 3114 | MATNR: 3114030040TXAT | NAZWAPL: U03.0X040/24-UHS-A TX10 WK.DR.EXTRA | AVAILABLE: 19,22;19;73181290
PODGRUPA: 1314 | MATNR: 1314060040TXB88IT | NAZWAPL: W06.0X040-WW-TX-B-8.8 M.WALC. ISO14583 | AVAILABLE: 27,29;27;73181558
PODGRUPA: 1102 | MATNR: 1102240140S88I014T | NAZWAPL: S24.0X140-6K-S-60-08.8- SRUBA ISO4014 | AVAILABLE: 28,31,32,35;32;73181588
PODGRUPA: 1102 | MATNR: 1102200260B58D931S | NAZWAPL: S20.0X260-6K-B-52-05.8- SRUBA DIN931 | AVAILABLE: 28,31,32,35;31;73181582
PODGRUPA: 1101 | MATNR: 1101080035R10D933T | NAZWAPL: S08.0X035-6K-R-10.9- SRUBA DIN933 | AVAILABLE: 31,32,49;32;73181588
PODGRUPA: 1599 | MATNR: 1599300200SD979S | NAZWAPL: NM30X2.0S  NAKRETKA KORONOWA  DIN979 | AVAILABLE: 3,36,37,38,39;39;73181699
PODGRUPA: 3103 | MATNR: 3103045040PZBK | NAZWAPL: U04.5X040-US-PZ-B      WKR.UNIX STOZ. | AVAILABLE: 19,22;22;73181499
PODGRUPA: I1101 | MATNR: I1101200095A48933T | NAZWAPL: INOX-S20.0X095-6K-A4-80 SRUBA DIN933 | AVAILABLE: 30,38;30;73181575
PODGRUPA: 1102 | MATNR: 1102160160C56D014K | NAZWAPL: S16.0X160-6K-C-44-05.6-SRUBA ISO4014 | AVAILABLE: 28,31,32,35;31;73181582
PODGRUPA: 1101 | MATNR: 1101240065B10I017T | NAZWAPL: S24.0X065-6K-B-10.9-SRUBA ISO4017 | AVAILABLE: 31,32,49;32;73181588
PODGRUPA: 1108 | MATNR: 1108060100AD603T | NAZWAPL: S06.0X100-ZG-A- SR.ZAMK.GRZYBK. | AVAILABLE: 33,49;33;73181595
PODGRUPA: 5399 | MATNR: 5399100250280PRAS | NAZWAPL: HAK-M10X250X30528A  PROSTY--GWINT METR. | AVAILABLE: 3,15,19,20,22,24,27,40,45,57;20;73181300
PODGRUPA: I1101 | MATNR: I1101040020A48933T | NAZWAPL: INOX-S04.0X020-6K-A4-80 SRUBA DIN933 | AVAILABLE: 30,38;30;73181575
PODGRUPA: 1112 | MATNR: 1112240050S88200T | NAZWAPL: S24.0X050-6K-S-2.00-08.8 SRUBA DIN961 | AVAILABLE: 29,32;32;73181588
PODGRUPA: 1109 | MATNR: 1109080130AD603K | NAZWAPL: S08.0X130-ZG-A-28- ZAMK.GRZYB | AVAILABLE: 33,49;33;73181595
PODGRUPA: I1101 | MATNR: I1101140130A27IT | NAZWAPL: INOX-S14.0X130-6K-A2 70 SRUBA ISO4017 | AVAILABLE: 30,38;30;73181575
PODGRUPA: 1102 | MATNR: 1102180110B88OC20S | NAZWAPL: S18.0X110-6K-B-42-08.8 DIN931 OC.20MIK | AVAILABLE: 28,31,32,35;32;73181588
PODGRUPA: I1314 | MATNR: I1314016014TXA2IT | NAZWAPL: INOX-W01.6X014-WW-TX5-A2 WALC.ISO14583 | AVAILABLE: 26,33;33;73181595
PODGRUPA: 1101 | MATNR: 1101140110B88I017T | NAZWAPL: S14.0X110-6K-B-08.8-SRUBA ISO4017 | AVAILABLE: 31,32,49;32;73181588
PODGRUPA: 3104 | MATNR: 3104045080TXAT | NAZWAPL: U04.5X080-US-TX-A-50  WKR.UNIX STOZ. | AVAILABLE: 19,22;22;73181499
PODGRUPA: 1101 | MATNR: 1101120140S88I017T | NAZWAPL: S12.0X140-6K-S-08.8-SRUBA ISO4017 | AVAILABLE: 31,32,49;32;73181588
PODGRUPA: I1314 | MATNR: I1314040014HA4798T | NAZWAPL: INOX-W04.0X014-WW-PH-A4 M.WALC.DIN7985 | AVAILABLE: 26,33;26;73181552
PODGRUPA: 1528 | MATNR: 1528270150B04D439T | NAZWAPL: NM27X1.5B KL.4 NAKRETKA NISKA DIN 439 | AVAILABLE: 38,39;39;73181699
PODGRUPA: 1108 | MATNR: 1108080110BD603T | NAZWAPL: S08.0X110-ZG-B- SR.ZAMK.GRZYBK. | AVAILABLE: 33,49;33;73181595
