MATNR;NAZWAPL;STAWN;PODGRUPA;OPIS;MATERIAL;PODGRUPA_WIELKOSC;PODGRUPA_ILOSC_KODOW;PODGRUPA_ILOSC_UZUPELNONYCH
1101050010S88D933T;S05.0X010-6K-S-08.8- SRUBA DIN933;;1101;Śruba z łbem 6-kątnym z gwintem na całości S05.0X010-6K-S-08.8- SRUBA DIN933;st-stal-weglowa;5764;3;5435
1101050012B88I017T;S05.0X012-6K-B-08.8-SRUBA ISO4017;;1101;Śruba z łbem 6-kątnym z gwintem na całości S05.0X012-6K-B-08.8-SRUBA ISO4017;st-stal-weglowa;5764;3;5435
1101050012S88D933T;S05.0X012-6K-S-08.8- SRUBA DIN933;;1101;Śruba z łbem 6-kątnym z gwintem na całości S05.0X012-6K-S-08.8- SRUBA DIN933;st-stal-weglowa;5764;3;5435
1101050014B88I017T;S05.0X014-6K-B-08.8-SRUBA ISO4017;;1101;Śruba z łbem 6-kątnym z gwintem na całości S05.0X014-6K-B-08.8-SRUBA ISO4017;st-stal-weglowa;5764;3;5435
1101050014S88D933T;S05.0X014-6K-S-08.8- SRUBA DIN933;;1101;Śruba z łbem 6-kątnym z gwintem na całości S05.0X014-6K-S-08.8- SRUBA DIN933;st-stal-weglowa;5764;3;5435
1101050016B88I017T;S05.0X016-6K-B-08.8-SRUBA ISO4017;;1101;Śruba z łbem 6-kątnym z gwintem na całości S05.0X016-6K-B-08.8-SRUBA ISO4017;st-stal-weglowa;5764;3;5435
1101050016C88D933T;S05.0X016-6K-C-08.8- SRUBA DIN933;;1101;Śruba z łbem 6-kątnym z gwintem na całości S05.0X016-6K-C-08.8- SRUBA DIN933;st-stal-weglowa;5764;3;5435
1101050016S88D933T;S05.0X016-6K-S-08.8- SRUBA DIN933;;1101;Śruba z łbem 6-kątnym z gwintem na całości S05.0X016-6K-S-08.8- SRUBA DIN933;st-stal-weglowa;5764;3;5435
1101050018B88I017T;S05.0X018-6K-B-08.8-SRUBA ISO4017;;1101;Śruba z łbem 6-kątnym z gwintem na całości S05.0X018-6K-B-08.8-SRUBA ISO4017;st-stal-weglowa;5764;3;5435
1101050018S88D933T;S05.0X018-6K-S-08.8- SRUBA DIN933;;1101;Śruba z łbem 6-kątnym z gwintem na całości S05.0X018-6K-S-08.8- SRUBA DIN933;st-stal-weglowa;5764;3;5435
1101050020B88I017T;S05.0X020-6K-B-08.8-SRUBA ISO4017;;1101;Śruba z łbem 6-kątnym z gwintem na całości S05.0X020-6K-B-08.8-SRUBA ISO4017;st-stal-weglowa;5764;3;5435
1101050020S88D933T;S05.0X020-6K-S-08.8- SRUBA DIN933;;1101;Śruba z łbem 6-kątnym z gwintem na całości S05.0X020-6K-S-08.8- SRUBA DIN933;st-stal-weglowa;5764;3;5435
1101050022B88I017T;S05.0X022-6K-B-08.8-SRUBA ISO4017;;1101;Śruba z łbem 6-kątnym z gwintem na całości S05.0X022-6K-B-08.8-SRUBA ISO4017;st-stal-weglowa;5764;3;5435
1101050022S88D933T;S05.0X022-6K-S-08.8- SRUBA DIN933;;1101;Śruba z łbem 6-kątnym z gwintem na całości S05.0X022-6K-S-08.8- SRUBA DIN933;st-stal-weglowa;5764;3;5435
1101050025B88I017T;S05.0X025-6K-B-08.8-SRUBA ISO4017;;1101;Śruba z łbem 6-kątnym z gwintem na całości S05.0X025-6K-B-08.8-SRUBA ISO4017;st-stal-weglowa;5764;3;5435
1101050025S88D933T;S05.0X025-6K-S-08.8- SRUBA DIN933;;1101;Śruba z łbem 6-kątnym z gwintem na całości S05.0X025-6K-S-08.8- SRUBA DIN933;st-stal-weglowa;5764;3;5435
1101050030B88I017T;S05.0X030-6K-B-08.8-SRUBA ISO4017;;1101;Śruba z łbem 6-kątnym z gwintem na całości S05.0X030-6K-B-08.8-SRUBA ISO4017;st-stal-weglowa;5764;3;5435
1101050030S88D933T;S05.0X030-6K-S-08.8- SRUBA DIN933;;1101;Śruba z łbem 6-kątnym z gwintem na całości S05.0X030-6K-S-08.8- SRUBA DIN933;st-stal-weglowa;5764;3;5435
1101050035B88I017T;S05.0X035-6K-B-08.8-SRUBA ISO4017;;1101;Śruba z łbem 6-kątnym z gwintem na całości S05.0X035-6K-B-08.8-SRUBA ISO4017;st-stal-weglowa;5764;3;5435
1101050035S88D933T;S05.0X035-6K-S-08.8- SRUBA DIN933;;1101;Śruba z łbem 6-kątnym z gwintem na całości S05.0X035-6K-S-08.8- SRUBA DIN933;st-stal-weglowa;5764;3;5435
1101050040B88I017T;S05.0X040-6K-B-08.8-SRUBA ISO4017;;1101;Śruba z łbem 6-kątnym z gwintem na całości S05.0X040-6K-B-08.8-SRUBA ISO4017;st-stal-weglowa;5764;3;5435
1101050040S88D933T;S05.0X040-6K-S-08.8- SRUBA DIN933;;1101;Śruba z łbem 6-kątnym z gwintem na całości S05.0X040-6K-S-08.8- SRUBA DIN933;st-stal-weglowa;5764;3;5435
1101050045B88I017T;S05.0X045-6K-B-08.8-SRUBA ISO4017;;1101;Śruba z łbem 6-kątnym z gwintem na całości S05.0X045-6K-B-08.8-SRUBA ISO4017;st-stal-weglowa;5764;3;5435
1101050045S88D933T;S05.0X045-6K-S-08.8- SRUBA DIN933;;1101;Śruba z łbem 6-kątnym z gwintem na całości S05.0X045-6K-S-08.8- SRUBA DIN933;st-stal-weglowa;5764;3;5435
1101050050B88I017T;S05.0X050-6K-B-08.8-SRUBA ISO4017;;1101;Śruba z łbem 6-kątnym z gwintem na całości S05.0X050-6K-B-08.8-SRUBA ISO4017;st-stal-weglowa;5764;3;5435
1101050050S88D933T;S05.0X050-6K-S-08.8- SRUBA DIN933;;1101;Śruba z łbem 6-kątnym z gwintem na całości S05.0X050-6K-S-08.8- SRUBA DIN933;st-stal-weglowa;5764;3;5435
1101050055B88I017T;S05.0X055-6K-B-08.8-SRUBA ISO4017;;1101;Śruba z łbem 6-kątnym z gwintem na całości S05.0X055-6K-B-08.8-SRUBA ISO4017;st-stal-weglowa;5764;3;5435
1101050055S88D933T;S05.0X055-6K-S-08.8- SRUBA DIN933;;1101;Śruba z łbem 6-kątnym z gwintem na całości S05.0X055-6K-S-08.8- SRUBA DIN933;st-stal-weglowa;5764;3;5435
1101050060B88I017T;S05.0X060-6K-B-08.8-SRUBA ISO4017;;1101;Śruba z łbem 6-kątnym z gwintem na całości S05.0X060-6K-B-08.8-SRUBA ISO4017;st-stal-weglowa;5764;3;5435
1101050060S88D933T;S05.0X060-6K-S-08.8- SRUBA DIN933;;1101;Śruba z łbem 6-kątnym z gwintem na całości S05.0X060-6K-S-08.8- SRUBA DIN933;st-stal-weglowa;5764;3;5435
1101050065B88I017T;S05.0X065-6K-B-08.8-SRUBA ISO4017;;1101;Śruba z łbem 6-kątnym z gwintem na całości S05.0X065-6K-B-08.8-SRUBA ISO4017;st-stal-weglowa;5764;3;5435
1101050065S88D933T;S05.0X065-6K-S-08.8- SRUBA DIN933;;1101;Śruba z łbem 6-kątnym z gwintem na całości S05.0X065-6K-S-08.8- SRUBA DIN933;st-stal-weglowa;5764;3;5435
1101050070B88I017T;S05.0X070-6K-B-08.8-SRUBA ISO4017;;1101;Śruba z łbem 6-kątnym z gwintem na całości S05.0X070-6K-B-08.8-SRUBA ISO4017;st-stal-weglowa;5764;3;5435
1101050070S88D933T;S05.0X070-6K-S-08.8- SRUBA DIN933;;1101;Śruba z łbem 6-kątnym z gwintem na całości S05.0X070-6K-S-08.8- SRUBA DIN933;st-stal-weglowa;5764;3;5435
1101050075B88I017T;S05.0X075-6K-B-08.8-SRUBA ISO4017;;1101;Śruba z łbem 6-kątnym z gwintem na całości S05.0X075-6K-B-08.8-SRUBA ISO4017;st-stal-weglowa;5764;3;5435
1101050080B88I017T;S05.0X080-6K-B-08.8-SRUBA ISO4017;;1101;Śruba z łbem 6-kątnym z gwintem na całości S05.0X080-6K-B-08.8-SRUBA ISO4017;st-stal-weglowa;5764;3;5435
1101050080S88D933T;S05.0X080-6K-S-08.8- SRUBA DIN933;;1101;Śruba z łbem 6-kątnym z gwintem na całości S05.0X080-6K-S-08.8- SRUBA DIN933;st-stal-weglowa;5764;3;5435
1101050090B88I017T;S05.0X090-6K-B-08.8-SRUBA ISO4017;;1101;Śruba z łbem 6-kątnym z gwintem na całości S05.0X090-6K-B-08.8-SRUBA ISO4017;st-stal-weglowa;5764;3;5435
1101050090S88D933T;S05.0X090-6K-S-08.8- SRUBA DIN933;;1101;Śruba z łbem 6-kątnym z gwintem na całości S05.0X090-6K-S-08.8- SRUBA DIN933;st-stal-weglowa;5764;3;5435
1101050100B88I017T;S05.0X100-6K-B-08.8-SRUBA ISO4017;;1101;Śruba z łbem 6-kątnym z gwintem na całości S05.0X100-6K-B-08.8-SRUBA ISO4017;st-stal-weglowa;5764;3;5435
1101050100S88D933T;S05.0X100-6K-S-08.8- SRUBA DIN933;;1101;Śruba z łbem 6-kątnym z gwintem na całości S05.0X100-6K-S-08.8- SRUBA DIN933;st-stal-weglowa;5764;3;5435
1101060006B88I017T;S06.0X006-6K-B-08.8-SRUBA ISO4017;;1101;Śruba z łbem 6-kątnym z gwintem na całości S06.0X006-6K-B-08.8-SRUBA ISO4017;st-stal-weglowa;5764;3;5435
1101060006S88D933T;S06.0X006-6K-S-08.8- SRUBA DIN933;;1101;Śruba z łbem 6-kątnym z gwintem na całości S06.0X006-6K-S-08.8- SRUBA DIN933;st-stal-weglowa;5764;3;5435
1101060008B88I017T;S06.0X008-6K-B-08.8-SRUBA ISO4017;;1101;Śruba z łbem 6-kątnym z gwintem na całości S06.0X008-6K-B-08.8-SRUBA ISO4017;st-stal-weglowa;5764;3;5435
1101060008S88D933T;S06.0X008-6K-S-08.8- SRUBA DIN933;;1101;Śruba z łbem 6-kątnym z gwintem na całości S06.0X008-6K-S-08.8- SRUBA DIN933;st-stal-weglowa;5764;3;5435
1101060010B88I017T;S06.0X010-6K-B-08.8-SRUBA ISO4017;;1101;Śruba z łbem 6-kątnym z gwintem na całości S06.0X010-6K-B-08.8-SRUBA ISO4017;st-stal-weglowa;5764;3;5435
1101060010S88D933T;S06.0X010-6K-S-08.8- SRUBA DIN933;;1101;Śruba z łbem 6-kątnym z gwintem na całości S06.0X010-6K-S-08.8- SRUBA DIN933;st-stal-weglowa;5764;3;5435
1101060012B58P2G3K;S06.0X012-6K-5.8-P2G360C-D933 MIN.360H/C;;1101;Śruba z łbem 6-kątnym z gwintem na całości S06.0X012-6K-5.8-P2G360C-D933 MIN.360H/C;st-stal-weglowa;5764;3;5435
1101060012B88I017T;S06.0X012-6K-B-08.8-SRUBA ISO4017;;1101;Śruba z łbem 6-kątnym z gwintem na całości S06.0X012-6K-B-08.8-SRUBA ISO4017;st-stal-weglowa;5764;3;5435
1101060012S88D933T;S06.0X012-6K-S-08.8- SRUBA DIN933;;1101;Śruba z łbem 6-kątnym z gwintem na całości S06.0X012-6K-S-08.8- SRUBA DIN933;st-stal-weglowa;5764;3;5435
1101060014B88I017T;S06.0X014-6K-B-08.8-SRUBA ISO4017;;1101;Śruba z łbem 6-kątnym z gwintem na całości S06.0X014-6K-B-08.8-SRUBA ISO4017;st-stal-weglowa;5764;3;5435
1101060014S88D933T;S06.0X014-6K-S-08.8- SRUBA DIN933;;1101;Śruba z łbem 6-kątnym z gwintem na całości S06.0X014-6K-S-08.8- SRUBA DIN933;st-stal-weglowa;5764;3;5435
1101060016B88I017T;S06.0X016-6K-B-08.8-SRUBA ISO4017;;1101;Śruba z łbem 6-kątnym z gwintem na całości S06.0X016-6K-B-08.8-SRUBA ISO4017;st-stal-weglowa;5764;3;5435
1101060016S88D933T;S06.0X016-6K-S-08.8- SRUBA DIN933;;1101;Śruba z łbem 6-kątnym z gwintem na całości S06.0X016-6K-S-08.8- SRUBA DIN933;st-stal-weglowa;5764;3;5435
1101060018B88I017T;S06.0X018-6K-B-08.8-SRUBA ISO4017;;1101;Śruba z łbem 6-kątnym z gwintem na całości S06.0X018-6K-B-08.8-SRUBA ISO4017;st-stal-weglowa;5764;3;5435
